Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,JobSearchStatus,LastNewJob,AssessJob1,AssessJob2,AssessJob3,AssessJob4,AssessJob5,AssessJob6,AssessJob7,AssessJob8,AssessJob9,AssessJob10,AssessBenefits1,AssessBenefits2,AssessBenefits3,AssessBenefits4,AssessBenefits5,AssessBenefits6,AssessBenefits7,AssessBenefits8,AssessBenefits9,AssessBenefits10,AssessBenefits11,JobContactPriorities1,JobContactPriorities2,JobContactPriorities3,JobContactPriorities4,JobContactPriorities5,JobEmailPriorities1,JobEmailPriorities2,JobEmailPriorities3,JobEmailPriorities4,JobEmailPriorities5,JobEmailPriorities6,JobEmailPriorities7,UpdateCV,Currency,Salary,SalaryType,ConvertedSalary,CurrencySymbol,CommunicationTools,TimeFullyProductive,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,Methodology,VersionControl,CheckInCode,AdBlocker,AdBlockerDisable,AdBlockerReasons,AdsAgreeDisagree1,AdsAgreeDisagree2,AdsAgreeDisagree3,AdsActions,AdsPriorities1,AdsPriorities2,AdsPriorities3,AdsPriorities4,AdsPriorities5,AdsPriorities6,AdsPriorities7,AIDangerous,AIInteresting,AIResponsible,AIFuture,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember,HypotheticalTools1,HypotheticalTools2,HypotheticalTools3,HypotheticalTools4,HypotheticalTools5,WakeTime,HoursComputer,HoursOutside,SkipMeals,ErgonomicDevices,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,MilitaryUS,SurveyTooLong,SurveyEasy,date_data_created
17,Yes,No,Spain,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Information systems, information technology, or system administration","1,000 to 4,999 employees",Back-end developer;Database administrator;Mobile developer;System administrator,6-8 years,0-2 years,Moderately dissatisfied,Moderately dissatisfied,Doing the same work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-01
18,Yes,Yes,India,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",100 to 499 employees,Back-end developer;Front-end developer;Full-stack developer,0-2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,A few times per week,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-01
19,Yes,No,Croatia,,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Front-end developer,0-2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 (Very Likely),A few times per week,I'm not sure / I can't remember,,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",,,Yes,,,,,,,,,,,,,,,,,,,,,2019-02-01
20,No,No,India,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Back-end developer;Full-stack developer,3-5 years,3-5 years,Extremely satisfied,Moderately satisfied,Working as an engineering manager or other functional manager,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,6.0,9.0,2.0,4.0,3.0,5.0,8.0,7.0,10.0,1.0,5.0,2.0,1.0,11.0,6.0,8.0,10.0,4.0,7.0,3.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Java,Java;Python,MongoDB;MySQL;Oracle;MariaDB;Elasticsearch,MongoDB;MySQL;Oracle;MariaDB;Apache HBase;Elasticsearch,Linux,Linux,Spring,Hadoop;Spark;Spring,Eclipse;NetBeans,Linux-based,More than 4,Agile,Git,Multiple times per day,Yes,No,,Strongly agree,,,Stopped going to a website because of their advertising,,,,,,,,Increasing automation of jobs,Algorithms making important decisions,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,"Yes, but only within the company",The developer who wrote it,Yes,10 (Very Likely),Multiple times per day,Yes,Daily or almost daily,Yes,"No, and I don't know what that is",10 (Very Likely),Yes,Somewhat interested,Extremely interested,Extremely interested,A little bit interested,Somewhat interested,Between 6:01 - 7:00 AM,5 - 8 hours,1 - 2 hours,Never,Ergonomic keyboard or mouse,I don't typically exercise,,,,,,,,,,2019-02-01
21,No,No,Netherlands,"Yes, full-time",Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,20 to 99 employees,Back-end developer;Front-end developer;Student,0-2 years,0-2 years,Neither satisfied nor dissatisfied,Moderately dissatisfied,Working in a career completely unrelated to software development,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,1.0,9.0,2.0,10.0,6.0,3.0,4.0,5.0,7.0,8.0,2.0,3.0,6.0,11.0,9.0,8.0,10.0,4.0,5.0,7.0,1.0,5.0,3.0,2.0,1.0,4.0,1.0,2.0,6.0,7.0,3.0,4.0,5.0,My job status or other personal status changed,Euros (€),0,Monthly,0.0,EUR,,Less than a month,Received on-the-job training in software development,,,,Disagree,Strongly disagree,Strongly agree,Java;JavaScript;PHP;VB.NET;HTML;CSS,,SQL Server;MySQL,,Windows Desktop or Server,,,,Notepad++;Visual Studio,Windows,2,Agile;Scrum,Copying and pasting files to network shares,Never,No,,,Strongly agree,Somewhat agree,Neither agree nor disagree,Clicked on an online advertisement,4.0,5.0,6.0,2.0,1.0,7.0,3.0,"Artificial intelligence surpassing human intelligence (""the singularity"")",,The developers or the people creating the AI,I'm worried about the dangers more than I'm excited about the possibilities.,No,"Yes, and publicly",The person who came up with the idea,Yes,8,Daily or almost daily,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,No,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Between 6:01 - 7:00 AM,9 - 12 hours,1 - 2 hours,Never,,Daily or almost every day,Male,,Associate degree,White or of European descent,18 - 24 years old,No,,The survey was an appropriate length,Neither easy nor difficult,2019-02-01
22,Yes,No,Israel,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Fine arts or performing arts (ex. graphic design, music, studio art)","5,000 to 9,999 employees",Full-stack developer,3-5 years,3-5 years,Moderately dissatisfied,Extremely dissatisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 (Very Likely),Multiple times per day,No,,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",,,No,A little bit interested,A little bit interested,Not at all interested,Not at all interested,Not at all interested,Between 5:00 - 6:00 AM,9 - 12 hours,1 - 2 hours,Never,,3 - 4 times per week,,,,,,,,,,2019-02-01
26,No,No,United States,"Yes, full-time",Employed part-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Student,0-2 years,,,,,I am actively looking for a job,Less than a year ago,5.0,7.0,4.0,8.0,2.0,6.0,9.0,1.0,10.0,3.0,1.0,2.0,4.0,10.0,11.0,5.0,6.0,7.0,9.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 (Very Likely),Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",,Yes,Very interested,Very interested,Very interested,Very interested,Very interested,Between 9:01 - 10:00 AM,5 - 8 hours,30 - 59 minutes,Never,Standing desk,3 - 4 times per week,,,,,,,,,,2019-02-01
27,Yes,No,Sweden,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A business discipline (ex. accounting, finance, marketing)",10 to 19 employees,Back-end developer,6-8 years,0-2 years,Moderately satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,9.0,4.0,10.0,3.0,1.0,6.0,5.0,2.0,7.0,8.0,1.0,8.0,9.0,4.0,11.0,3.0,5.0,6.0,10.0,7.0,2.0,,,,,,7.0,6.0,1.0,5.0,3.0,4.0,2.0,A friend told me about a job opportunity,Swedish kroner (SEK),32000,Monthly,47904.0,SEK,Confluence;Jira,Three to six months,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","A book or e-book from O’Reilly, Apress, or a similar publisher",,To improve my general technical skills or programming ability,Neither Agree nor Disagree,Agree,Disagree,C#;SQL;HTML;CSS;Bash/Shell,C#;F#;Haskell;SQL;Ocaml,SQL Server,Redis;SQL Server;PostgreSQL;Elasticsearch,Linux;Windows Desktop or Server,Linux;Windows Desktop or Server,.NET Core,.NET Core,Visual Studio;Visual Studio Code,Windows,1,Agile,Git,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content,Strongly disagree,Strongly disagree,Strongly agree,,3.0,2.0,4.0,7.0,5.0,6.0,1.0,,,A governmental or other regulatory body,"I don't care about it, or I haven't thought about it.",No,"Yes, and publicly",,Yes,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,Yes,Yes,6,No,Not at all interested,Not at all interested,Not at all interested,Very interested,Somewhat interested,Between 7:01 - 8:00 AM,9 - 12 hours,30 - 59 minutes,Never,,3 - 4 times per week,Male,,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,35 - 44 years old,Yes,,The survey was too long,Somewhat difficult,2019-02-01
29,Yes,Yes,India,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,"10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist;Database administrator;DevOps specialist,0-2 years,3-5 years,Slightly satisfied,Extremely satisfied,Doing the same work,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A recruiter contacted me,,,Monthly,,,,,Contributed to open source software,,,,Strongly agree,Strongly agree,Strongly agree,C;C++;C#,Python;R,,Redis;PostgreSQL;Oracle,,Azure;ESP8266;Gaming console,Angular,Django,Android Studio;Coda;Xcode,Windows,More than 4,Agile,Git,Never,I'm not sure/I don't know,,,Strongly disagree,Strongly disagree,Strongly disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising;Paid to access a website advertisement-free,,,,,,,,Increasing automation of jobs,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",The developers or the people creating the AI,I'm worried about the dangers more than I'm excited about the possibilities.,No,No,The developer who wrote it,No,10 (Very Likely),Multiple times per day,I'm not sure / I can't remember,,Yes,,10 (Very Likely),I'm not sure,,,,,Extremely interested,I do not have a set schedule,9 - 12 hours,1 - 2 hours,3 - 4 times per week,Fatigue-relieving floor mat,Daily or almost every day,Female,,Some college/university study without earning a degree,,,,,The survey was too long,Very difficult,2019-02-01
31,Yes,Yes,Chile,"Yes, full-time",Employed part-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A business discipline (ex. accounting, finance, marketing)",Fewer than 10 employees,Back-end developer;Front-end developer;Full-stack developer;QA or test developer;Student,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 (Very Likely),Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I have one but it's out of date",,No,,,,,,Between 7:01 - 8:00 AM,9 - 12 hours,30 - 59 minutes,1 - 2 times per week,Standing desk;Ergonomic keyboard or mouse,1 - 2 times per week,,,,,,,,,,2019-02-01
